Entry,Econ@,ECON,Legal,Polit@,POLIT,Role,SocRel
NOBLE,,,,,,Role,
BREADWINNER,Econ@,,,,,Role,
COMIC,,,,,,Role,
PERFORM,,,,,,Role,
ADVERSARY,,,,Polit@,,Role,SocRel
ALLIES,,,,,,Role,SocRel
ARBITER,,,,,,Role,SocRel
CHUM,,,,,,Role,SocRel
CONQUEROR,,,,,,Role,SocRel
CONTRIBUTOR,,,,,,Role,SocRel
INTRUSION,,,,,,Role,SocRel
SWEETNESS,,,,,,Role,SocRel
BLACK#2,,,,,POLIT,Role,
JEWEL,,,,,,Role,
NATURAL#1,,,,,,Role,
NEIGHBOR#1,,,,,,Role,
NIGHT#1,,,,,,Role,
WHITE#3,Econ@,ECON,,,POLIT,Role,
BROTHER,,,,,,Role,
DAD,,,,,,Role,
DADDY,,,,,,Role,
FATHOM#1,,,,,,Role,
GRANDMA,,,,,,Role,
GRANNY,,,,,,Role,
HUSTLE,Econ@,,,,,Role,
NERVE,,,,,,Role,
PAPER,,,,,,Role,
SONG,,,,,,Role,
UNCLEAN,,,,,,Role,
AUNT,,,,,,Role,
BRIDE,,,,,,Role,
DAUGHTER,,,,,,Role,
GRANDMOTHER,,,,,,Role,
GRANDPA,,,,,,Role,
GRANT#1,Econ@,ECON,,,,Role,
MACHINE,,,,,,Role,
MAN#1,,,,,,Role,
MOTION,,,,,,Role,
SIT#1,,,,,,Role,
WIDOW#2,,,,,,Role,
WIDOWER,,,,,,Role,
WILD#1,,,,,,Role,
WOE,,,,,,Role,
ANCESTOR,,,,,,Role,
COUSIN,,,,,,Role,
FOLKLORE,,,,,,Role,
GRANDCHILDREN,,,,,,Role,
GRANDEUR,,,,,,Role,
KIND#1,,,,,,Role,
PARENTAL,,,,,,Role,
RELATION#3,,,,,,Role,
RELATIVE#2,,,,,,Role,
TWIST#1,,,,,,Role,
ACTOR,,,,,,Role,
BACHELOR,,,,,,Role,
BOY,,,,,,Role,
BUDDY,,,,,,Role,
BUSINESSMAN,Econ@,ECON,,,,Role,
BUSINESSMEN,Econ@,ECON,,,,Role,
CHRIST,,,,,,Role,
CLERGYMAN,,,,,,Role,
COACHMAN,Econ@,,,,,Role,
